t,id_ref,iq_ref,id,iq,ia,ib,ic,vd_cmd,vq_cmd,va_ref,vb_ref,vc_ref,da,db,dc,va,vb,vc,torque_e,omega_m
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000050000,0.000000000,0.062500000,-0.000000000,0.000247605,0.000000000,0.000214432,-0.000214432,0.000000009,0.084842507,0.000000318,0.073475607,-0.073475925,0.500000007,0.501530742,0.498469252,0.000000318,0.073475607,-0.073475925,0.000038998,-0.020827478
0.000100000,0.000000000,0.125000000,-0.000000203,0.020154525,0.000000089,0.017454286,-0.017454375,0.000001556,0.143248643,0.000003633,0.124055148,-0.124058781,0.500000076,0.502584482,0.497415442,0.000003633,0.124055148,-0.124058781,0.003174338,-0.040991468
0.000150000,0.000000000,0.187500000,-0.000000753,0.053494912,0.000000966,0.046327470,-0.046328435,0.000005950,0.183727378,0.000011855,0.159106649,-0.159118503,0.500000247,0.503314722,0.496685031,0.000011855,0.159106649,-0.159118503,0.008425449,-0.059406411
0.000200000,0.000000000,0.250000000,-0.000001604,0.096014757,0.000003753,0.083149342,-0.083153095,0.000013396,0.212092718,0.000025230,0.183665066,-0.183690296,0.500000526,0.503826356,0.496173119,0.000025230,0.183665066,-0.183690296,0.015122324,-0.075330577
0.000250000,0.000000000,0.312500000,-0.000002621,0.144807375,0.000009618,0.125402056,-0.125411674,0.000023386,0.232317260,0.000043021,0.201171136,-0.201214157,0.500000896,0.504191065,0.495808038,0.000043021,0.201171136,-0.201214157,0.022807162,-0.088257170
0.000300000,0.000000000,0.375000000,-0.000003649,0.197886677,0.000019540,0.171365118,-0.171384659,0.000034999,0.247115399,0.000063958,0.213976230,-0.214040187,0.500001332,0.504457838,0.495540829,0.000063958,0.213976230,-0.214040187,0.031167152,-0.097839918
0.000350000,0.000000000,0.437500000,-0.000004546,0.253895601,0.000034196,0.219862940,-0.219897136,0.000047096,0.258341827,0.000086515,0.223687319,-0.223773834,0.500001802,0.504660152,0.495338045,0.000086515,0.223687319,-0.223773834,0.039988557,-0.103842233
0.000400000,0.000000000,0.500000000,-0.000005192,0.311906886,0.000053895,0.270092335,-0.270146230,0.000058433,0.267263816,0.000109063,0.231402709,-0.231511772,0.500002272,0.504820890,0.495176838,0.000109063,0.231402709,-0.231511772,0.049125334,-0.106102475
0.000450000,0.000000000,0.562500000,-0.000005497,0.371286946,0.000078566,0.321504637,-0.321583203,0.000067733,0.274747267,0.000129938,0.237873124,-0.238003063,0.500002707,0.504955690,0.495041603,0.000129938,0.237873124,-0.238003063,0.058477694,-0.104510211
