t,rpm_ref,rpm,theta_e,va,vb,vc,duty_a,duty_b,duty_c,ia,ib,ic,ialpha,ibeta,id_ref,id_true,iq_ref,iq_true,Te
0.00001900,0.00000000,-0.09548644,-0.00000052,0.00000000,0.00000000,-0.00000000,0.50000000,0.50000000,0.50000000,0.00000000,0.00003809,-0.00003809,0.00000000,0.00004398,0.00000000,-0.00000000,0.00000000,0.00004398,0.00001682
0.00003900,0.00000000,-0.19093719,-0.00000205,0.00000000,0.00000000,-0.00000000,0.50000000,0.50000000,0.50000000,0.00000000,0.00015608,-0.00015608,0.00000000,0.00018022,0.00000000,-0.00000000,0.00000000,0.00018022,0.00006893
0.00005900,0.00000000,-0.28633446,-0.00000457,-0.00000004,-0.00749628,0.00749633,0.50000000,0.49998438,0.50001562,0.00000000,0.00021740,-0.00021740,0.00000000,0.00025103,0.00000000,-0.00000000,0.00000000,0.00025103,0.00009602
0.00007900,0.00000000,-0.38173075,-0.00000810,-0.00000004,-0.00749628,0.00749633,0.50000000,0.49998438,0.50001562,0.00000000,0.00022264,-0.00022265,0.00000000,0.00025709,0.00000000,0.00000000,0.00000000,0.00025709,0.00009834
0.00009900,0.00000000,-0.47710519,-0.00001262,-0.00000004,-0.00749628,0.00749633,0.50000000,0.49998438,0.50001562,0.00000001,0.00030789,-0.00030790,0.00000001,0.00035553,0.00000000,0.00000000,0.00000000,0.00035553,0.00013599
0.00011900,0.00000000,-0.57247267,-0.00001814,-0.00000026,-0.01353800,0.01353826,0.50000000,0.49997181,0.50002819,0.00000002,0.00025372,-0.00025374,0.00000002,0.00029298,0.00000000,0.00000001,0.00000000,0.00029298,0.00011206
0.00013900,0.00000000,-0.66784329,-0.00002466,-0.00000026,-0.01353800,0.01353826,0.50000000,0.49997181,0.50002819,0.00000003,0.00027983,-0.00027986,0.00000003,0.00032314,0.00000000,0.00000002,0.00000000,0.00032314,0.00012360
0.00015900,0.00000000,-0.76319523,-0.00003218,-0.00000090,-0.01919532,0.01919622,0.50000000,0.49996001,0.50003999,0.00000005,0.00028293,-0.00028297,0.00000005,0.00032672,0.00000000,0.00000004,0.00000000,0.00032672,0.00012497
0.00017900,0.00000000,-0.85855982,-0.00004069,-0.00000090,-0.01919532,0.01919622,0.50000000,0.49996001,0.50003999,0.00000008,0.00026338,-0.00026346,0.00000008,0.00030417,0.00000000,0.00000007,0.00000000,0.00030417,0.00011634
0.00019900,0.00000000,-0.95391300,-0.00005021,-0.00000090,-0.01919532,0.01919622,0.50000000,0.49996001,0.50003999,0.00000012,0.00032393,-0.00032405,0.00000012,0.00037411,0.00000000,0.00000010,0.00000000,0.00037411,0.00014310
0.00021900,0.00000000,-1.04926569,-0.00006072,-0.00000232,-0.02474083,0.02474316,0.50000000,0.49994844,0.50005156,0.00000018,0.00026280,-0.00026298,0.00000018,0.00030356,0.00000000,0.00000016,0.00000000,0.00030356,0.00011611
0.00023900,0.00000000,-1.14462444,-0.00007223,-0.00000232,-0.02474083,0.02474316,0.50000000,0.49994844,0.50005156,0.00000025,0.00028198,-0.00028223,0.00000025,0.00032574,0.00000000,0.00000023,0.00000000,0.00032574,0.00012460
0.00025900,0.00000000,-1.23996710,-0.00008474,-0.00000498,-0.03025813,0.03026311,0.49999997,0.49993697,0.50006306,0.00000007,0.00028102,-0.00028109,0.00000007,0.00032454,0.00000000,0.00000004,0.00000000,0.00032454,0.00012414
0.00027900,0.00000000,-1.33532327,-0.00009825,-0.00000498,-0.03025813,0.03026311,0.49999997,0.49993697,0.50006306,-0.00000036,0.00026029,-0.00025993,-0.00000036,0.00030035,0.00000000,-0.00000039,0.00000000,0.00030035,0.00011488
0.00029900,0.00000000,-1.43066863,-0.00011276,-0.00000498,-0.03025813,0.03026311,0.49999997,0.49993697,0.50006306,-0.00000076,0.00031964,-0.00031888,-0.00000076,0.00036865,0.00000000,-0.00000080,0.00000000,0.00036865,0.00014101
0.00031900,0.00000000,-1.52601386,-0.00012827,0.00000166,-0.03577852,0.03577686,0.50000000,0.49992546,0.50007457,-0.00000076,0.00025817,-0.00025741,-0.00000076,0.00029767,0.00000000,-0.00000080,0.00000000,0.00029767,0.00011386
0.00033900,0.00000000,-1.62136531,-0.00014477,0.00000166,-0.03577852,0.03577686,0.50000000,0.49992546,0.50007457,-0.00000072,0.00027698,-0.00027626,-0.00000072,0.00031941,0.00000000,-0.00000076,0.00000000,0.00031941,0.00012217
0.00035900,0.00000000,-1.71670080,-0.00016227,-0.00000148,-0.04128711,0.04128860,0.50000000,0.49991399,0.50008601,-0.00000054,0.00027572,-0.00027518,-0.00000054,0.00031806,0.00000000,-0.00000060,0.00000000,0.00031806,0.00012166
0.00037900,0.00000000,-1.81204978,-0.00018078,-0.00000148,-0.04128711,0.04128860,0.50000000,0.49991399,0.50008601,-0.00000023,0.00025474,-0.00025451,-0.00000023,0.00029402,0.00000000,-0.00000029,0.00000000,0.00029402,0.00011246
0.00039900,0.00000000,-1.90738788,-0.00020028,-0.00000148,-0.04128711,0.04128860,0.50000000,0.49991399,0.50008601,0.00000013,0.00031384,-0.00031396,0.00000013,0.00036246,0.00000000,0.00000006,0.00000000,0.00036246,0.00013864
0.00041900,0.00000000,-2.00272581,-0.00022077,-0.00001138,-0.04680094,0.04681232,0.49999997,0.49990249,0.50009751,0.00000018,0.00025245,-0.00025263,0.00000018,0.00029161,0.00000000,0.00000012,0.00000000,0.00029161,0.00011154
